page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0023	SW105	016	Clapham Junction to Weymouth BML1 Wessex	02/12/06		45	00	*	45.00
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08		47	30	*	47.30
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08		47	40	*	47.40
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08		51	10	*	51.10
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08	Basingstoke SB	47	42	YW	47.42
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08		47	50	*	47.50
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08	Basingstoke SB	47	55	BE	47.55
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08		47	56	*	47.56
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08	BASINGSTOKE	47	61		47.61
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08		47	74	*	47.74
0024	SW105	017	Clapham Junction to Weymouth BKE1 BML1 Wessex	22/03/08		48	12	*	48.12
0025	SW105	018	Clapham Junction to Weymouth BML1 Wessex	06/05/08	Worthing Jn	50	21	*	50.21
0025	SW105	018	Clapham Junction to Weymouth BML1 Wessex	06/05/08		50	29	*	50.29
0025	SW105	018	Clapham Junction to Weymouth BML1 Wessex	06/05/08		50	30	*	50.30
0026	SW105	019	Clapham Junction to Weymouth BML1 BAE1 Wessex	06/05/08		50	69	*	50.69
0026	SW105	019	Clapham Junction to Weymouth BML1 BAE1 Wessex	06/05/08		50	70	*	50.70
0026	SW105	019	Clapham Junction to Weymouth BML1 BAE1 Wessex	06/05/08		53	00	*	53.00
0026	SW105	019	Clapham Junction to Weymouth BML1 BAE1 Wessex	06/05/08	Steventon UWC	54	12		54.12
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Litchfield Tunnel	55	58		55.58
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	(198 yards)	55	67		55.67
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Popham No 1 Tunnel	57	17		57.17
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	(265 yards)	57	29		57.29
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Popham No 2 Tunnel	57	35		57.35
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	(199 yards)	57	44		57.44
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Micheldever Oil Terminal	57	44	X	57.44
0027	SW105	020	Clapham Junction to Weymouth BML1 Wessex	02/12/06	MICHELDEVER	58	04		58.04
0028	SW105	021	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Weston	60	13		60.13
0028	SW105	021	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Wallers Ash	61	06		61.06
0028	SW105	021	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Wallers Ash Tunnel	62	22		62.22
0028	SW105	021	Clapham Junction to Weymouth BML1 Wessex	02/12/06	(501 yards)	62	45		62.45
0029	SW105	022	Clapham Junction to Weymouth BML1 Wessex	02/12/06	WINCHESTER	66	39		66.39
0029	SW105	022	Clapham Junction to Weymouth BML1 Wessex	02/12/06	St Cross Tunnel	68	31		68.31
0029	SW105	022	Clapham Junction to Weymouth BML1 Wessex	02/12/06	(62 yards)	63	33		63.33
0030	SW105	023	Clapham Junction to Weymouth BML1 Wessex	02/12/06	SHAWFORD	69	50		69.50
0030	SW105	023	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Allbrook	72	46		72.46
0031	SW105	024	Clapham Junction to Weymouth ECR BML1 ETF Wessex	02/12/06		73	20	*	73.20
0031	SW105	024	Clapham Junction to Weymouth ECR BML1 ETF Wessex	02/12/06	Eastleigh SB (E)	73	20	X	73.20
0031	SW105	024	Clapham Junction to Weymouth ECR BML1 ETF Wessex	02/12/06		73	28	*	73.28
0031	SW105	024	Clapham Junction to Weymouth ECR BML1 ETF Wessex	02/12/06	EASTLEIGH	73	35		73.35
0031	SW105	024	Clapham Junction to Weymouth ECR BML1 ETF Wessex	02/12/06		73	42	*	73.42
0032	SW105	025	Clapham Junction to Weymouth BML1 Wessex	02/12/06	SOUTHAMPTON AIRPORT	74	66		74.66
0032	SW105	025	Clapham Junction to Weymouth BML1 Wessex	02/12/06	(PARKWAY)			Z	.
0032	SW105	025	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Swaythling uwc	75	25		75.25
0032	SW105	025	Clapham Junction to Weymouth BML1 Wessex	02/12/06		75	33	*	75.33
0032	SW105	025	Clapham Junction to Weymouth BML1 Wessex	02/12/06	SWAYTHLING	75	56		75.56
0032	SW105	025	Clapham Junction to Weymouth BML1 Wessex	02/12/06		75	71	*	75.71
0033	SW105	026	Clapham Junction to Weymouth BML1 SDP1 Wessex	02/12/06		77	00	*	77.00
0033	SW105	026	Clapham Junction to Weymouth BML1 SDP1 Wessex	02/12/06	ST DENYS	77	10	*	77.10
0034	SW105	027	Clapham Junction to Weymouth BML2 SOY Wessex	02/12/06	Mount Pleasant LC	77	54	CCTV	77.54
0034	SW105	027	Clapham Junction to Weymouth BML2 SOY Wessex	02/12/06	Northam Jn	78	15	*	78.15
0035	SW105	028	Clapham Junction to Weymouth BML2 Wessex	22/03/08		78	30	*	78.30
0035	SW105	028	Clapham Junction to Weymouth BML2 Wessex	22/03/08	Southampton Tunnel	78	52		78.52
0035	SW105	028	Clapham Junction to Weymouth BML2 Wessex	22/03/08	(528 yards)	78	76		78.76
0035	SW105	028	Clapham Junction to Weymouth BML2 Wessex	22/03/08	SOUTHAMPTON	79	19		79.19
0036	SW105	029	Clapham Junction to Weymouth BML2 Wessex	02/12/06		79	42	*	79.42
0037	SW105	030	Clapham Junction to Weymouth BML2 MI5 Wessex	02/12/06	MILLBROOK	80	11		80.11
0037	SW105	030	Clapham Junction to Weymouth BML2 MI5 Wessex	02/12/06		80	45	*	80.45
0038	SW105	031	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Maritime Freightliner Terminal			X	.
0039	SW105	032	Clapham Junction to Weymouth BML2 RTJ1 Wessex	02/12/06	REDBRIDGE	81	70		81.70
0039	SW105	032	Clapham Junction to Weymouth BML2 RTJ1 Wessex	02/12/06		81	76		81.76
0039	SW105	032	Clapham Junction to Weymouth BML2 RTJ1 Wessex	02/12/06		23	31		23.31
0039	SW105	032	Clapham Junction to Weymouth BML2 RTJ1 Wessex	02/12/06		82	02	*	82.02
0039	SW105	032	Clapham Junction to Weymouth BML2 RTJ1 Wessex	02/12/06		82	24	*	82.24
0040	SW105	033	Clapham Junction to Weymouth BML2 Wessex	02/12/06	TOTPON	32	43		32.43
0040	SW105	033	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Totton Lc	32	53	CCTV	32.53
0040	SW105	033	Clapham Junction to Weymouth BML2 Wessex	02/12/06		32	70	*	32.70
0041	SW105	034	Clapham Junction to Weymouth BML2 TTF Wessex	02/12/06		83	30	*	83.30
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06		85	20	*	85.20
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06	ASHURST NEW FOREST	85	34		85.34
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06		85	75	*	85.75
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06	BEAULIEU ROAD	88	06		88.06
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06		89	14	*	89.14
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06	Woodfidley Crossing	89	59		89.59
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06		90	00	*	90.00
0042	SW105	035	Clapham Junction to Weymouth BML2 Wessex	02/12/06		92	35	*	92.35
0043	SW105	036	Clapham Junction to Weymouth BML2 BLP Wessex	23/06/07	Brockenhurst LC	92	55		92.55
0043	SW105	036	Clapham Junction to Weymouth BML2 BLP Wessex	23/06/07	Brockenhurst SB (BH)	92	55	X	92.55
0043	SW105	036	Clapham Junction to Weymouth BML2 BLP Wessex	23/06/07	BROGKENHURST	92	66		92.66
0043	SW105	036	Clapham Junction to Weymouth BML2 BLP Wessex	23/06/07		93	26	*	93.26
0043	SW105	036	Clapham Junction to Weymouth BML2 BLP Wessex	23/06/07		93	41	*	93.41
0044	SW105	037	Clapham Junction to Weymouth BML2 Wessex	12/04/08		93	58	*	93.58
0044	SW105	037	Clapham Junction to Weymouth BML2 Wessex	12/04/08	SWAY	95	45		95.45
0044	SW105	037	Clapham Junction to Weymouth BML2 Wessex	12/04/08		95	60	*	95.60
0044	SW105	037	Clapham Junction to Weymouth BML2 Wessex	12/04/08		96	00	*	96.00
0044	SW105	037	Clapham Junction to Weymouth BML2 Wessex	12/04/08	NEW MILTON	93	44		93.44
0044	SW105	037	Clapham Junction to Weymouth BML2 Wessex	12/04/08	HINTON ADMIRAL	101	05		101.05
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		103	60	*	103.60
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		104	00	*	104.00
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		104	02	*	104.02
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		104	16	*	104.16
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08	CH RISTOHURGH 1	04	28		04.28
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		104	40	*	104.40
0045	SW105	038	Clapham Junction to Weymouth BML2 Wessex	12/04/08		104	62	*	104.62
