page	route	sequence	name	date	location	miles	chains	restriction
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06	Ruflord No. 1 Coal Stacking Site G.F.	1	37	
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06	Inkersall LC (OPEN)	1	35	*
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06	Bilsthorpe Colliery Jn	1	08	*
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06	Ruflord Colliery Jn	0	25	
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06		0	00	*
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06		9	08	
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06	Clipstone Collieran	9	21	
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06		9	26	*
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06		9	74	*
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06		9	78	
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06		10	60	*
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06	Clipstone South Jn	10	66	*
0318	LN790	001	Rufford No. 1 Coal Stacking Site to Clipstone East Jn. BLC RUB1 CEM London North Eastern	02/12/06	Clipstone East Jn	11	09	
