page	route	sequence	name	date	location	miles	chains	restriction
0327	LN804	001	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	Tapton Jn	146	64	
0327	LN804	001	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	NRN Channel Change	146	64	X
0327	LN804	001	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	DRONFIELD	151	44	
0327	LN804	001	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	Bradway Tunnel	152	49	
0327	LN804	001	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	(1 m 267 yards) to	153	61	*
0327	LN804	001	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		153	62	*
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		153	65	
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	Dore South Jn	153	71	
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		154	52	*
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	Dore Station Jn	154	54	*
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		154	62	
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		154	72	
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		155	07	*
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		156	16	
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08	Heeley	156	62	
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		157	44	
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		157	55	*
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		157	58	*
0328	LN804	002	Tapton Jn to Gascoigne Wood (via Sheffield) TJC1 London North Eastern	30/08/08		157	74	*
