page	route	sequence	name	date	location	miles	chains	restriction
0245	LN3601	001	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	Kettering North Jn	74	00	
0245	LN3601	001	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	Gedlington HABD	77	08	
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	Corby North Jn	79	32	
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	conmr	79	40	
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	Double Line	79	53	
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08		80	72	*
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	Corby Tunnel got 74	80	72	X
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	. o	80	72	X
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	(1755ml1mlle,160y MS)	32	01	
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08		82	04	*
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	Harfingworth	35	00	
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08		85	76	*
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	Seaton Tunnel set 24	85	76	X
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08	(188m I 206 yards) 36 °33	85	76	X
0246	LN3601	002	Kettering North Jn to Manton Jn GSM London North Eastern	14/12/08		86	50	*
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06		66	61	*
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06		67	10	*
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	Glaston Tunnel	87	30	
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	(1 mile, 82 yards)	87	30	X
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	(1684 metres)	88	33	
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	Wing Tunnel	89	22	
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	(323 metres! 353 yards)	89	39	
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06		90	12	*
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06		90	14	*
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	Manton . Jn SB	90	18	MJ
0247	LN3601	003	Kettering North Jn to Manton Jn GSM London North Eastern	02/12/06	Manton Jn	90	25	
