page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0006	NW1001	006	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	07/10/06	Madeley HABD	149	74		149.74
0007	NW1001	007	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07		155	48	*	155.48
0007	NW1001	007	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07		155	58	*	155.58
0007	NW1001	007	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07		156	08		156.08
0007	NW1001	007	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07	Basford Hall Jn SB	156	23	BH	156.23
0007	NW1001	007	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07	Basford Wood GF	157	03		157.03
0008	NW1001	008	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07		157	27	*	157.27
0008	NW1001	008	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07		157	32	*	157.32
0008	NW1001	008	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07		157	44	*	157.44
0008	NW1001	008	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	31/03/07	Crewe South Jn	157	60		157.60
0009	NW1001	009	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	14/12/08	GREWE	158	00		158.00
0009	NW1001	009	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	14/12/08	Crewe North Jn	158	18		158.18
0009	NW1001	009	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC LNW North	14/12/08	Crewe SB	158	21	CE	158.21
0010	NW1001	010	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC5 CGJ1 LNW North	20/10/08		158	56	*	158.56
0010	NW1001	010	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC5 CGJ1 LNW North	20/10/08		158	59	*	158.59
0010	NW1001	010	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC5 CGJ1 LNW North	20/10/08	Crewe Coal Yard SB	158	68	CY	158.68
0010	NW1001	010	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC5 CGJ1 LNW North	20/10/08		153	73		153.73
0010	NW1001	010	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC5 CGJ1 LNW North	20/10/08	OHNS	159	00	*	159.00
0010	NW1001	010	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC5 CGJ1 LNW North	20/10/08	Winsford South Junction	165	11		165.11
0010	NW1001	010	Armitage Jn (Inc|.) to Preston Fylde Jn. LEC5 CGJ1 LNW North	20/10/08	WINSFORD	165	41		165.41
0011	NW1001	011	Armitage Jn (Inc|.) to Preston Fylde Jn. CGJ1 LNW North	08/12/08	HABD	166	38		166.38
0011	NW1001	011	Armitage Jn (Inc|.) to Preston Fylde Jn. CGJ1 LNW North	08/12/08	Winsford SB	166	66	WD	166.66
0011	NW1001	011	Armitage Jn (Inc|.) to Preston Fylde Jn. CGJ1 LNW North	08/12/08	HARTFORD	169	64		169.64
