page	route	sequence	name	date	location	miles	chains	restriction
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	Coventry North Jn	94	19	
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	Change of mileage	0	00	
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09		0	01	*
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09		0	04	*
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	Coventry Yard	0	04	X
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09		0	42	*
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	Limit of electrification	0	45	*
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	Spon End viaduct	0	47	
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	(330 metres / 360 yards)	0	63	
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09		0	68	*
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09		0	72	*
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09		0	73	*
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	Coundon Road SB	1	03	CR
0135	MD410	001	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	14/02/09	Coundon Road LC	1	04	MCB
0136	MD410	002	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/05/07	Change of Mileage	3	08	
0136	MD410	002	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/05/07	Prologis Park Siding	0	00	
0136	MD410	002	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/05/07	Three Spires Junction SB	3	20	T3
0136	MD410	002	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/05/07	Network Rail boundary	0	58	
0136	MD410	002	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/05/07	Up Side G.F.	4	50	
0136	MD410	002	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/05/07	Hawkesbury Lane SB	4	71	HL
0136	MD410	002	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/05/07	Hawkesbury Lane LC	4	72	MOB
0137	MD410	003	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/09/08	Murco Sidings GF	5	37	
0137	MD410	003	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/09/08	BEDWORTH	6	29	
0137	MD410	003	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/09/08		8	75	*
0137	MD410	003	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/09/08	Chilvers Ceton Jn	9	00	
0137	MD410	003	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/09/08	Nuneaton South Junction	9	53	
0137	MD410	003	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/09/08		96	68	
0137	MD410	003	Coventry North Jn. to Nuneaton South Jn. CNN LNW South	08/09/08	Change of mileage	96	68	X
