page	route	sequence	name	date	location	miles	chains	restriction
0001	SC001	001	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	11/02/07	Gretna Jn	8	57	
0002	SC001	002	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/06/07		9	03	*
0002	SC001	002	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/06/07		9	69	*
0002	SC001	002	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/06/07		9	70	*
0002	SC001	002	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/06/07		9	77	*
0002	SC001	002	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/06/07	Quintinshill	10	13	
0002	SC001	002	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/06/07	Quintinshill GF	10	33	
0002	SC001	002	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/06/07		10	37	*
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06	Territory Boundary	12	30	
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		12	37	*
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		12	37	*
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		13	20	*
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06	Gave LC	13	42	CCTV
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		14	07	*
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		16	53	*
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06	Kirtlebridge GSP	17	02	
0003	SC001	003	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		17	13	*
0004	SC001	004	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06	OHN S 20	1	07	
0004	SC001	004	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		20	53	*
0004	SC001	004	Gretna Jn to Glasgow Central (Via Beattock) WCM1 Scotland	02/12/06		22	60	*
