page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0026	EA1011	013	Seven Kings to Ipswich LTN Anglia	05/08/06	Church Street LC	41	57	AHBC-X	41.57
0026	EA1011	013	Seven Kings to Ipswich LTN Anglia	05/08/06	KELVEDON	42	21		42.21
0026	EA1011	013	Seven Kings to Ipswich LTN Anglia	05/08/06	Long Green FP LC	45	66	RIG-X	45.66
0027	EA1011	014	Seven Kings to Ipswich LTN Anglia	05/08/06	MARKS TEY	46	49		46.49
0027	EA1011	014	Seven Kings to Ipswich LTN Anglia	05/08/06	Marks Tey Jn	46	56		46.56
0027	EA1011	014	Seven Kings to Ipswich LTN Anglia	05/08/06		46	57	*	46.57
0027	EA1011	014	Seven Kings to Ipswich LTN Anglia	05/08/06	Chitts Hi||LC	49	41	MCG	49.41
0028	EA1011	015	Seven Kings to Ipswich LTN Anglia	05/08/06		50	72		50.72
0028	EA1011	015	Seven Kings to Ipswich LTN Anglia	05/08/06		51	00		51.00
0028	EA1011	015	Seven Kings to Ipswich LTN Anglia	05/08/06		51	22	*	51.22
0028	EA1011	015	Seven Kings to Ipswich LTN Anglia	05/08/06		51	26	*	51.26
0028	EA1011	015	Seven Kings to Ipswich LTN Anglia	05/08/06		51	28	*	51.28
0028	EA1011	015	Seven Kings to Ipswich LTN Anglia	05/08/06	Colchester (C0) SB	51	37		51.37
0028	EA1011	015	Seven Kings to Ipswich LTN Anglia	05/08/06		51	39	*	51.39
0029	EA1011	016	Seven Kings to Ipswich LTN Anglia	02/03/09	COLCHESTER	51	52		51.52
0029	EA1011	016	Seven Kings to Ipswich LTN Anglia	02/03/09	Colchester Jn	51	65		51.65
0029	EA1011	016	Seven Kings to Ipswich LTN Anglia	02/03/09		51	75	*	51.75
0029	EA1011	016	Seven Kings to Ipswich LTN Anglia	02/03/09		51	77	*	51.77
0029	EA1011	016	Seven Kings to Ipswich LTN Anglia	02/03/09		52	20	*	52.20
0029	EA1011	016	Seven Kings to Ipswich LTN Anglia	02/03/09	OHNS	52	21		52.21
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06	Ardleigh GSP	56	00		56.00
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06	Ardleigh LC	56	04	CCTV	56.04
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06		57	46	*	57.46
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06		58	74	*	58.74
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06		59	20	*	59.20
0030	EA1011	017	Seven Kings to Ipswich LTN Anglia	05/08/06	MANNINGTREE	59	35		59.35
