page	route	sequence	name	date	location	miles	chains	restriction
0167	GW425	001	Berkeley Road Jn to Sharpness SAW Western	25/08/07		107	70	
0167	GW425	001	Berkeley Road Jn to Sharpness SAW Western	25/08/07	Berkeley Road Jn	0	04	
0167	GW425	001	Berkeley Road Jn to Sharpness SAW Western	25/08/07	Berkeley GF	2	03	
0167	GW425	001	Berkeley Road Jn to Sharpness SAW Western	25/08/07		3	39	
0167	GW425	001	Berkeley Road Jn to Sharpness SAW Western	25/08/07	Sharpness	3	69	
0167	GW425	001	Berkeley Road Jn to Sharpness SAW Western	25/08/07	NR/BW boundary	3	69	X
