page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	68	*	7.68
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Silkstream Jn	7	72		7.72
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	75	*	7.75
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	OHNS	8	29		8.29
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	MILL HILL BROADWAY	9	28		9.28
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Elstree Tunnels 11tO38 *-	9	28	X	9.28
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(967 metres! 1058 yards)	12	06		12.06
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		12	05	*	12.05
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		12	06	*	12.06
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	ELSTREE AND BOREHAMWOOD	12	35		12.35
0140	LN3201	011	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Radlett Jn	14	33		14.33
0140	LN3201	011	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	RADLETP	15	17		15.17
0141	LN3201	012	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Napsbury HABD	18	00		18.00
0141	LN3201	012	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		18	38	*	18.38
0141	LN3201	012	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		19	23	*	19.23
0141	LN3201	012	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		19	62	*	19.62
0141	LN3201	012	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		19	65	*	19.65
0141	LN3201	012	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	ST. ALBANS	19	71		19.71
0141	LN3201	012	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		20	00	*	20.00
0142	LN3201	013	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		20	14	*	20.14
0142	LN3201	013	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		20	71	*	20.71
0142	LN3201	013	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		20	77	*	20.77
0142	LN3201	013	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	OHNS	21	18		21.18
0142	LN3201	013	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Harpenden Jn	24	25		24.25
0143	LN3201	014	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		24	38	*	24.38
0143	LN3201	014	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	HARPENDEN	24	51		24.51
0143	LN3201	014	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		24	64	*	24.64
0143	LN3201	014	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		24	78	*	24.78
0143	LN3201	014	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		25	17	*	25.17
0143	LN3201	014	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		26	38	*	26.38
0143	LN3201	014	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Chiltern Green HABD	27	69	*	27.69
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		28	26	*	28.26
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	LUTON AIRPORT PARKWAY	29	19		29.19
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		29	57	*	29.57
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		29	59	*	29.59
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Luton Up Sidings GF	29	69		29.69
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	09	*	30.09
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Luton South Jn	30	12		30.12
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	15	*	30.15
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	17	*	30.17
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	LUTON	30	19		30.19
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	27	*	30.27
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	31	*	30.31
0144	LN3201	015	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	39	*	30.39
0145	LN3201	016	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Luton North Jn	30	52		30.52
0145	LN3201	016	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	73	*	30.73
0145	LN3201	016	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		30	79	*	30.79
0145	LN3201	016	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Limbury Rd Up Line GF (No. 1)	31	45		31.45
0145	LN3201	016	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Limbury Rd Dn. Line GF (No. 2)	31	69		31.69
0146	LN3201	017	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	LEAGRAVE	32	60		32.60
0146	LN3201	017	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Leagrave Jn	33	18		33.18
0146	LN3201	017	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	OHNS	35	35		35.35
0147	LN3201	018	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		37	09	*	37.09
0147	LN3201	018	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	HARLINGTON	37	22		37.22
0147	LN3201	018	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		37	25	*	37.25
0147	LN3201	018	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		37	32	*	37.32
0147	LN3201	018	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		40	09	*	40.09
0147	LN3201	018	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	FLPPWIGK	40	18		40.18
0147	LN3201	018	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		40	20	*	40.20
0148	LN3201	019	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Flitwick Jn	40	47		40.47
0148	LN3201	019	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Ampthill Tunnels	42	19	*	42.19
0148	LN3201	019	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(715 yards) to	42	52		42.52
0148	LN3201	019	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		42	52	*	42.52
0149	LN3201	020	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Elstow Sidings			X	.
0149	LN3201	020	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		48	30	*	48.30
0149	LN3201	020	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Bedford South Jn	48	60		48.60
0150	LN3201	021	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		49	00	*	49.00
0150	LN3201	021	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		49	40	*	49.40
0150	LN3201	021	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Bedford Station Jn	49	60		49.60
0150	LN3201	021	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	BEDFORD	49	65		49.65
0151	LN3201	022	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08	Bedford North Jn	50	35		50.35
0151	LN3201	022	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08		53	00	*	53.00
0152	LN3201	023	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08		53	20	*	53.20
0152	LN3201	023	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08	Oakley HABD	53	60		53.60
0152	LN3201	023	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08		56	46		56.46
0152	LN3201	023	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08	Shambrook Jn	56	52		56.52
0152	LN3201	023	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08	Shambrook Tunnel	59	00		59.00
0152	LN3201	023	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08	(1701 m I 1 mile 100 yds) to (Slow line only)	60	04		60.04
0152	LN3201	023	St. Pancras to Tapton Jn (via Derby) SPC2 London North Eastern	30/08/08	NRN channel change	62	64		62.64
0153	LN3201	024	St. Pancras to Tapton Jn (via Derby) SPC2 SPC3 London North Eastern	30/08/08		64	23	*	64.23
0153	LN3201	024	St. Pancras to Tapton Jn (via Derby) SPC2 SPC3 London North Eastern	30/08/08	Change of ELR	64	78		64.78
0153	LN3201	024	St. Pancras to Tapton Jn (via Derby) SPC2 SPC3 London North Eastern	30/08/08	WELLINGBOROUGH	65	11	*	65.11
0153	LN3201	024	St. Pancras to Tapton Jn (via Derby) SPC2 SPC3 London North Eastern	30/08/08		65	27	*	65.27
0153	LN3201	024	St. Pancras to Tapton Jn (via Derby) SPC2 SPC3 London North Eastern	30/08/08		65	72	*	65.72
0154	LN3201	025	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	22/03/09		66	70	*	66.70
0154	LN3201	025	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	22/03/09	Harrowden Jn	67	00		67.00
0154	LN3201	025	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	22/03/09	Harrowden Jn HABD	67	36		67.36
0154	LN3201	025	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	22/03/09	Kettering South Jn	70	60		70.60
0155	LN3201	0026	St. Pancras to Tapton Jn (via Derby) SPCS London North Eastern	23/03/09		71	03	*	71.03
0155	LN3201	0026	St. Pancras to Tapton Jn (via Derby) SPCS London North Eastern	23/03/09	KETTERING	72	01		72.01
0155	LN3201	0026	St. Pancras to Tapton Jn (via Derby) SPCS London North Eastern	23/03/09		72	19	*	72.19
0155	LN3201	0026	St. Pancras to Tapton Jn (via Derby) SPCS London North Eastern	23/03/09	Kettering Station Jn	72	20		72.20
0155	LN3201	0026	St. Pancras to Tapton Jn (via Derby) SPCS London North Eastern	23/03/09		73	00	*	73.00
0155	LN3201	0026	St. Pancras to Tapton Jn (via Derby) SPCS London North Eastern	23/03/09	Kettering North Jn	74	00		74.00
0155	LN3201	0026	St. Pancras to Tapton Jn (via Derby) SPCS London North Eastern	23/03/09	Braybrooke LC	80	34	UWC	80.34
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08		82	00	*	82.00
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08	Little Bowden LC	82	33	RIG	82.33
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08		82	62	*	82.62
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08	MARKET HARBOROUGH	82	74		82.74
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08		83	10	*	83.10
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08		84	24	*	84.24
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08	East Langton HABD	86	20		86.20
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08	Watkins LC	87	12	UWC	87.12
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08		92	36	*	92.36
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08		92	50	*	92.50
0156	LN3201	027	St. Pancras to Tapton Jn (via Derby) SPC3 London North Eastern	30/08/08	Kilby Bridge Jn	93	40		93.40
0157	LN3201	028	St. Pancras to Tapton Jn (via Derby) SPC3 SPC4 London North Eastern	30/08/08	Hills LC	93	49	UWC	93.49
0157	LN3201	028	St. Pancras to Tapton Jn (via Derby) SPC3 SPC4 London North Eastern	30/08/08	Cooks Lane LC	93	56	UWC	93.56
0157	LN3201	028	St. Pancras to Tapton Jn (via Derby) SPC3 SPC4 London North Eastern	30/08/08	Wigston South Jn	95	37		95.37
0157	LN3201	028	St. Pancras to Tapton Jn (via Derby) SPC3 SPC4 London North Eastern	30/08/08	Change of ELR	95	38		95.38
0157	LN3201	028	St. Pancras to Tapton Jn (via Derby) SPC3 SPC4 London North Eastern	30/08/08		95	47	*	95.47
0157	LN3201	028	St. Pancras to Tapton Jn (via Derby) SPC3 SPC4 London North Eastern	30/08/08		95	74	*	95.74
0157	LN3201	028	St. Pancras to Tapton Jn (via Derby) SPC3 SPC4 London North Eastern	30/08/08	Wigston North Jn	95	76		95.76
0158	LN3201	029	St. Pancras to Tapton Jn (via Derby) SPC4 London North Eastern	30/08/08		97	13	*	97.13
0158	LN3201	029	St. Pancras to Tapton Jn (via Derby) SPC4 London North Eastern	30/08/08	Knighton Jn	97	45		97.45
0158	LN3201	029	St. Pancras to Tapton Jn (via Derby) SPC4 London North Eastern	30/08/08	Knighton Tunnel Sat 02	97	45	X	97.45
0158	LN3201	029	St. Pancras to Tapton Jn (via Derby) SPC4 London North Eastern	30/08/08	(95m I 104 yards)	98	07		98.07
0158	LN3201	029	St. Pancras to Tapton Jn (via Derby) SPC4 London North Eastern	30/08/08		98	23	*	98.23
0158	LN3201	029	St. Pancras to Tapton Jn (via Derby) SPC4 London North Eastern	30/08/08	Leicester South Jn	98	23	X	98.23
0158	LN3201	029	St. Pancras to Tapton Jn (via Derby) SPC4 London North Eastern	30/08/08		98	73	*	98.73
0159	LN3201	030	St. Pancras to Tapton Jn (via Derby) SPC5 London North Eastern	30/08/08		99	00	*	99.00
0159	LN3201	030	St. Pancras to Tapton Jn (via Derby) SPC5 London North Eastern	30/08/08	LEICESTER	99	07		99.07
0159	LN3201	030	St. Pancras to Tapton Jn (via Derby) SPC5 London North Eastern	30/08/08		99	18	*	99.18
