page	route	sequence	name	date	location	miles	chains	restriction
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08		250	00	
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08	St. Budeaux Jn	227	22	
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08	ST. BUDEAUX	227	02	
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08	VICTORIA ROAD	227	02	X
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08		226	68	*
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08	Ernesettle South GF	225	79	
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08	Ernesettle North GF	225	58	
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08		225	02	*
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08		224	33	*
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08		224	16	*
0240	GW637	001	St. Budeaux Jn to Gunnislake DAC Western	29/03/08		222	75	*
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06	BERE FERRERS	222	69	
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06		222	60	*
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06		220	50	*
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06	Collins Farm LC	220	31	UWC
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06		220	15	*
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06	Bare Alston Jn	220	07	
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06	BERE ALSTON	220	05	
0241	GW637	002	St. Budeaux Jn to Gunnislake DAC Western	05/08/06	STOPS	219	75	
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06		220	07	
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06	Bare Alston Jn	0	02	
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06	Bare Alston GF	0	02	
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06	Helston Farm No.1LC	0	53	UWC
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06		0	78	*
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06		1	51	*
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06	CALSTOGK	1	55	
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06		1	64	*
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06		2	26	*
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06	Okeltor LC	2	28	OPEN
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06		2	62	*
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06	Sandways LC	3	31	OPEN
0242	GW637	003	St Budeaux Jn to Gunnislake CAL Western	05/08/06	GUNNISLAKE	4	40	
