page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0456	SC203	010	Inverness to Wick WCK Scotland	02/12/06	Distillery No 2 GF	32	07	OOU	32.07
0456	SC203	010	Inverness to Wick WCK Scotland	02/12/06		32	15		32.15
0456	SC203	010	Inverness to Wick WCK Scotland	02/12/06	lnvergordon Distillery LC G)	32	20		32.20
0457	SC203	011	Inverness to Wick WCK Scotland	02/12/06	Balintraid LC	33	50	UWC	33.50
0457	SC203	011	Inverness to Wick WCK Scotland	02/12/06		34	45	*	34.45
0457	SC203	011	Inverness to Wick WCK Scotland	02/12/06		34	78	*	34.78
0457	SC203	011	Inverness to Wick WCK Scotland	02/12/06	Delny LC	34	79	AOCL	34.79
0458	SC203	012	Inverness to Wick WCK Scotland	02/12/06		34	79	*	34.79
0458	SC203	012	Inverness to Wick WCK Scotland	02/12/06		35	35	*	35.35
0458	SC203	012	Inverness to Wick WCK Scotland	02/12/06		38	37	*	38.37
0458	SC203	012	Inverness to Wick WCK Scotland	02/12/06		39	24	*	39.24
0458	SC203	012	Inverness to Wick WCK Scotland	02/12/06	Nigg LC	39	25	AHBC	39.25
0458	SC203	012	Inverness to Wick WCK Scotland	02/12/06		39	26	*	39.26
0458	SC203	012	Inverness to Wick WCK Scotland	02/12/06		40	13	*	40.13
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07		40	43	*	40.43
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07		40	45	*	40.45
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	Feam GF	40	46		40.46
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	FEARN TEP	40	60		40.60
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	Hilton Mills LC	42	61	UWC	42.61
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	Balkeith South LC	43	17	UWC	43.17
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	South and loop points	44	12	*	44.12
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	TAIN TEP	44	23		44.23
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	Sdg GF	44	23	X	44.23
0459	SC203	013	Inverness to Wick WCK Scotland	22/12/07	North and loop points	44	36	*	44.36
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08		44	60	*	44.60
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08	Morangie LC	45	17	UWC	45.17
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08	Edderton No 1 LC	48	46	UWC	48.46
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08	Manse LC	49	20	UWC	49.20
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08	Ardvannie No 2 LC	51	40	UWC	51.40
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08		52	72	*	52.72
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08		54	03	*	54.03
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08	Mid Feam LC	55	26	UWC	55.26
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08	Wester Feam No1 LC	55	32	UWC	55.32
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08		55	43	*	55.43
0460	SC203	014	Inverness to Wick WCK Scotland	08/09/08	Wester Feam No 2 LC	55	50	UWC	55.50
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08		56	08	*	56.08
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08	Ardchronie LC	56	40	UWC	56.40
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08	Kincardine Mains LC	56	75	UWC	56.75
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08	McNicols LC	57	32	UWC	57.32
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08	sag GF	57	32	X	57.32
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08	ARDGAY TEP	57	70		57.70
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08		58	03	*	58.03
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08		58	55	*	58.55
0461	SC203	015	Inverness to Wick WCK Scotland	15/12/08		58	56	*	58.56
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06	Balnahinch No 4 LC	59	78	UWC	59.78
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06	Culrain Smithey LC	60	63	UWC	60.63
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06		60	74	*	60.74
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06	CULRAIN	61	00		61.00
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06		61	10	*	61.10
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06	INVERSHIH	61	34		61.34
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06		63	05	*	63.05
0462	SC203	016	Inverness to Wick WCK Scotland	02/12/06		63	23	*	63.23
