page	route	sequence	name	date	location	miles	chains	restriction
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	End of Line	20	75	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Colliery Crossing	20	70	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06		20	66	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Loop	20	41	*
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Cwm bargoed	20	40	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Cwmbargoed LC (T M0)	20	37	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Site of former Taff Bargoed Branch . Jn	13	53	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	(Change of ELR)	13	53	X
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Llancaiach lsaf LC	13	26	UWC
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Site of former Penallta Jn	12	41	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	(Change of mileage and ELR)	15	01	
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06		13	43	*
0340	GW820	001	Cwmbargoed to Ystrad Mynach South TBD VON PTA Western	05/08/06	Ystrad Mynach South Jn	13	41	
