page	route	sequence	name	date	location	miles	chains	restriction
0260	SC139	001	Clydebank Jn to Dalmuir Riverside (Goods Line) (OOU) RVS1 RVSZ Scotland	02/12/06	Clydebank Jn	0	00	
0260	SC139	001	Clydebank Jn to Dalmuir Riverside (Goods Line) (OOU) RVS1 RVSZ Scotland	02/12/06	(Change of ELR	0	04	
0260	SC139	001	Clydebank Jn to Dalmuir Riverside (Goods Line) (OOU) RVS1 RVSZ Scotland	02/12/06	RVS1 to RVSZ)	109	05	
0260	SC139	001	Clydebank Jn to Dalmuir Riverside (Goods Line) (OOU) RVS1 RVSZ Scotland	02/12/06	Dalmuir Riverside	109	49	
